numero,situacao,descricao,complemento,classificacao_contabil,localizacao_sistema,data_entrada,valor_compra,valor_atual,local_verificado,estado_conservacao,usuario,data_hora,usuario_bem,imagem,contagem
14339,ATIVO,MONITOR,MONITOR HP Z DISPLAY Z24I G2 PN: 1JS08A4#ABA,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/03/2021,"1.200,00","1.200,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:35:24,,,0
14340,ATIVO,MONITOR,MONITOR HP Z DISPLAY Z24I G2 PN: 1JS08A4#ABA,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/03/2021,"1.200,00","1.200,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:32:48,,,0
14389,ATIVO,NOTEBOOK,"NOTEBOOK LENOVO 14"" THINKPAD E14 I5-1135G7",EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/10/2021,"5.499,99","5.499,99",09 - CDPROF,Bom,Hugo Bernardo,2025-12-16 19:28:14,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/14389_1765913286.jpg,0
14393,ATIVO,NOTEBOOK,"NOTEBOOK LENOVO 14"" THINKPAD E14 I5-1135G7",EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/10/2021,"5.499,99","5.499,99",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:46:00,,,0
14424,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.218,51","1.218,51",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:39:51,,,0
13241,BAIXADO,NOTEBOOK,NOTEBOOK HP PROBOOK 6360B CORE 15-2520M 500MB 4GB,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,14/08/2012,"3.522,25","2.231,07",,,,,,,1
13242,BAIXADO,NOTEBOOK,NOTEBOOK HP PROBOOK 6360B CORE 15-2520M 500MB 4GB,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,BENS TI PARA ALIENAÇÃO 2024,14/08/2012,"3.522,25","2.231,07",,,,,,,1
14452,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.270,00","1.218,51",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:36:00,,,0
14456,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.270,00","1.218,51",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:39:51,,,0
14473,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.218,51","1.218,51",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:39:51,,,0
